amenities,descripcion,nombre,precio
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Transporte gratis al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Wifi,Piscina al aire libre,Cafetería,Restaurante,Desayuno disponible,Desayuno bufet,Bebida de bienvenida de cortesía,Happy Hour,Bufé apto para niños,Transporte al aeropuerto,Servicio de traslado en autobús,Salón de banquetes,Salas de reuniones,Masaje,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Servicio de mayordomo,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Aire acondicionado,Servicio a la habitación,Caja fuerte,Minibar,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias",,Oro Verde Guayaquil,
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Desayuno gratis,Actividades infantiles (Ideal para niños / familias),Se admiten mascotas (Se aceptan perros / mascotas),Transporte al aeropuerto,Conserje,Hotel para no fumadores,Garaje de estacionamientos,Wifi,Restaurante,Desayuno disponible,Desayuno en la habitación,Bar de aperitivos,Recepción disponible las 24 horas,Servicio de lavandería,Aire acondicionado,Servicio a la habitación,Habitaciones para no fumadores,Habitaciones para familias","HDC, Hotel del centro, estratégicamente ubicado a tres cuadras del Río Guayas donde se encuentra el maravilloso Malecón 2000, el atractivo más importante de Guayaquil. HDC, ofrece a sus huéspedes habitaciones ejecutivas con baño privado, aire acondicionado, televisión, acceso al internet y desayuno. Tenemos habitaciones para uso individual, doble y triple. Además contamos con un parqueo exclusivo para nuestros huéspedes. HDC no solo es ideal para los ejecutivos que necesitan estar dentro del centro de Guayaquil, sino también para todos los turistas que deseen conocer nuestra linda ciudad a pie, ya nos encontramos a pocas distancias de las zonas turísticas más importantes.",Hotel del Centro,
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Desayuno gratis,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Masaje,Almacenamiento de equipaje,Garaje de estacionamientos,Wifi,Bar/Salón,Restaurante,Desayuno disponible,Desayuno bufet,Desayuno en la habitación,Salón de banquetes,Salas de reuniones,Fax/Fotocopiadora,Salón de belleza,Conserje,Hotel para no fumadores,Tiendas,Cajero automático en el lugar,Recepción disponible las 24 horas,Check-in y check-out exprés,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Servicio a la habitación,Caja fuerte,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias","El Hotel Continental es tradición, comodidad y pasión por el servicio. Nuestra hospitalidad nos ha convertido en referente para ejecutivos y turistas, nacionales e internacionales. Estamos a menos de 15 minutos del aeropuerto internacional José Joaquín de Olmedo. El Hotel Continental está estratégicamente ubicado en pleno centro turístico, histórico, comercial y bancario de Guayaquil. Nuestra gastronomía nos distingue en la ciudad; en materia gastronómica, somos sin modestia, los mejores de Guayaquil. Sentirá, a cada momento la hospitalidad que nos caracteriza y que es parte de nuestra excelencia. Todos nuestros huéspedes son especiales, lo invitamos a ser uno de ellos y vivir ¡El Estilo Continental!",Continental Hotel,58
"Estacionamiento gratis,Estacionamiento,Internet de alta velocidad gratuito (WiFi),Alquiler de bicicletas,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Hotel para no fumadores,Limpieza en seco,Wifi,Alquiler de autos,Aire acondicionado,Kitchenette,Refrigerador,Habitaciones para no fumadores,Suites",,Suites Guayaquil,
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Desayuno disponible,Cadenas de televisión para niños,Piscina para niños,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Estacionamiento en la calle,Wifi,Bañera de hidromasaje,Toallas para la piscina/playa,Piscina climatizada,Piscina de inmersión,Salas de reuniones,Masaje,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Muebles de exterior,Cocina compartida,Sala de estar o con TV compartida,Reposeras/Sillas playeras,Terraza solárium,Sombrillas,Recepción disponible las 24 horas,Check-in y check-out privado,Limpieza en seco,Servicio de lavandería,Aire acondicionado,Servicio de limpieza,Caja fuerte,Teléfono,Kitchenette,Microondas,Bañera/Ducha,Productos de tocador de cortesía,Plancha,Servicio de despertador/Reloj despertador,Habitaciones para no fumadores,Suites,Habitaciones para familias",,Cedros Inn,75
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Wifi,Bar/Salón,Restaurante,Desayuno bufet,Salón de banquetes,Salas de reuniones,Conserje,Hotel para no fumadores,Servicio de lavandería,Aire acondicionado,Servicio a la habitación,Refrigerador,TV pantalla plana,Habitaciones para no fumadores,Suites",,Hotel Marcelius,
"Estacionamiento privado pagado cercano,Internet de alta velocidad gratuito (WiFi),Piscina al aire libre,Desayuno gratis,Se admiten mascotas (Se aceptan perros / mascotas),Transporte al aeropuerto,Fax/Fotocopiadora,Almacenamiento de equipaje,Estacionamiento en la calle,Wifi,Hotel para no fumadores,Muebles de exterior,Sala de estar o con TV compartida,Recepción disponible las 24 horas,Aire acondicionado,Caja fuerte,Habitaciones para no fumadores,Habitaciones para familias",,DreamKapture Hostel,
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Bañera de hidromasaje,Desayuno gratis,Transporte al aeropuerto,Fax/Fotocopiadora,Spa,Almacenamiento de equipaje,Estacionamiento vigilado,Wifi,Piscina al aire libre,Toallas para la piscina/playa,Desayuno en la habitación,Menús para dietas especiales,Vino/Champagne,Servicio de traslado en autobús,Alquiler de autos,Capilla/Santuario,Conserje,Cambio de divisas,Periódico,Hotel para no fumadores,Muebles de exterior,Recepción disponible las 24 horas,Check-in y check-out exprés,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Escritorio,Servicio de limpieza,Servicio a la habitación,Caja fuerte,Botellas de agua,Plancha,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias","El Hotel Boutique Orilla del Río fue hasta el año 1996 un hogar lleno de calor de familia, lleno de amor, fue nuestro hogar. Al pasar de los años quisimos abrir las puertas convirtiéndolo en un lugar para descubrir nuevas experiencias, y permitir que otras personas sientan aquí ese calor de hogar, aunque estén fuera del suyo.Cada rincón de este hotel boutique está lleno de momentos y recuerdos importantes, por esta razón hemos considerado todo para hacer más cómoda su estadía.Estamos ubicados en la zona más segura de Guayaquil , en donde puede caminar. Conozca más de los servicios y las habitaciones que le ofrecemos.",Hotel Boutique Orilla del Rio,125
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Actividades infantiles (Ideal para niños / familias),Transporte gratis al aeropuerto,Centro de negocios con acceso a Internet,Garaje de estacionamientos,Wifi,Piscina al aire libre,Sauna,Restaurante,Desayuno bufet,Desayuno en la habitación,Comidas para niños,Vino/Champagne,Transporte al aeropuerto,Servicio de traslado en autobús,Instalaciones para conferencias,Salón de banquetes,Salas de reuniones,Fax/Fotocopiadora,Spa,Hammam,Masaje,Almacenamiento de equipaje,Conserje,Periódico,Hotel para no fumadores,Tiendas,Terraza solárium,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Lavandería de autoservicio,Servicio de planchado,Aire acondicionado,Servicio a la habitación,Caja fuerte,Botellas de agua,Minibar,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias",,Sonesta Hotel Guayaquil,
"Estacionamiento privado pagado cercano,Internet de alta velocidad gratuito (WiFi),Desayuno gratis,Alquiler de bicicletas,Excursionismo,Almacenamiento de equipaje,Tienda de regalos,Recepción disponible las 24 horas,Estacionamiento,Wifi,Bar/Salón,Cafetería,Restaurante,Vino/Champagne,Entretenimiento nocturno,Periódico,Hotel para no fumadores,Tiendas,Servicio de lavandería,Aire acondicionado,Habitaciones para no fumadores,Habitaciones para familias","Manso está en la zona más céntrica y segura de Guayaquil, frente al Malecón 2000, a 15 cuadras de Las Peñas, a 2 cuadras de la Av 9 de octubre, a 4 cuadras del Parque de las Iguanas. A 10-15 minutos del aeropuerto y terminal terrestre. Agencia de viajes con tours a los alrededores de Guayaquil con énfasis en el aspecto cultural. City Tours en bicicleta. Hay 4 categorías de habitaciones; hay opciones para cada presupuesto. Todos los cuartos tienen diseño y rige el mismo estándar de servicio en todo el hostal. Muchas áreas comunes ideales para relajarse viendo el río o conocer otros viajeros. Manso tiene una cafetería organica con opciones vegetarianas. Centro cultural con actividades todo el año. Tienda de diseñadores locales con énfasis en el uso de materiales reciclado",Manso Boutique Guesthouse,
"Estacionamiento vigilado,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Squash,Billar,Piscina para niños,Wifi,Bañera de hidromasaje,Toallas para la piscina/playa,Piscina al aire libre,Vestuarios de gimnasio/spa,Clases de actividad física,Sauna,Bar/Salón,Cafetería,Restaurante,Desayuno disponible,Café instantáneo de cortesía,Té de cortesía,Bebida de bienvenida de cortesía,Happy Hour,Comidas para niños,Comedor al aire libre,Vino/Champagne,Patio,Tenis de mesa,Sillitas altas disponibles,Transporte gratis al aeropuerto,Servicio de taxi,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Salón de banquetes,Salas de reuniones,Fax/Fotocopiadora,Spa,Envoltura corporal,Hammam,Masaje de manos,Masaje,Solárium,Sala de vapor,Terraza en la azotea,Seguridad las 24 horas,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Terraza solárium,Portero,Kit de primeros auxilios,Recepción disponible las 24 horas,Check-in y check-out exprés,Secador de ropa,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Cortinas blackout,Habitaciones insonorizadas,Aire acondicionado,Escritorio,Servicio de limpieza,Máquina de café/té,TV por cable/satélite,Bañera/Ducha,Habitaciones interconectadas disponibles,Servicio a la habitación,Caja fuerte,Sala de estar separada,Sofá,Teléfono,Guardarropa/Ropero,Botellas de agua,Estante para la ropa,Plancha,Baños privados,Servicio de despertador/Reloj despertador,Refrigerador,TV pantalla plana,Radio,Secador de pelo,Vista a la ciudad,Vista a la piscina,Suite nupcial,Habitaciones para no fumadores,Suites,Habitaciones para familias","Experimente el servicio y el sabor local de un hotel histórico situado en la puerta de entrada a las exuberantes playas del Pacífico y las hermosas islas volcánicas de Galápagos cuando se aloje en el único Grand Hotel Guayaquil, miembro de Ascend Hotel Collection®.",Grand Hotel Guayaquil,65
"Estacionamiento privado pagado cercano,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Solárium,Estacionamiento vigilado,Wifi,Bañera de hidromasaje,Piscina cubierta,Sauna,Restaurante,Desayuno bufet,Máquina expendedora,Salón de banquetes,Salas de reuniones,Fax/Fotocopiadora,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Servicio a la habitación,Caja fuerte,Refrigerador,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias",,Hotel Ramada,52
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Servicios gratuitos de taxi o transporte,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Estacionamiento vigilado,Wifi,Piscina al aire libre,Sauna,Restaurante,Desayuno bufet,Bar de aperitivos,Transporte al aeropuerto,Salón de banquetes,Salas de reuniones,Fax/Fotocopiadora,Spa,Masaje,Periódico,Hotel para no fumadores,Cajero automático en el lugar,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Servicio a la habitación,Caja fuerte,Minibar,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias",,Sheraton Guayaquil Hotel,
"Estacionamiento privado pagado cercano,Internet de alta velocidad gratuito (WiFi),Wifi,Desayuno gratis,Desayuno disponible,Transporte al aeropuerto,Hotel para no fumadores,Servicio de lavandería,Aire acondicionado,TV pantalla plana,Habitaciones para no fumadores,Habitaciones para familias",,Macaw,67
"Estacionamiento privado pagado cercano,Internet de alta velocidad gratuito (WiFi),Gimnasio / Sala de entrenamiento,Bar/Salón,Los niños se alojan gratis,Cadenas de televisión para niños,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Estacionamiento,Restaurante,Desayuno disponible,Desayuno en la habitación,Comidas para niños,Vino/Champagne,Sillitas altas disponibles,Servicio de taxi,Instalaciones para conferencias,Salón de banquetes,Salas de reuniones,Seguridad las 24 horas,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Servicio de lustrado de zapatos,Habitación libre de alérgenos,Cortinas blackout,Aire acondicionado,Escritorio,Servicio de limpieza,Minibar,TV por cable/satélite,Bañera/Ducha,Servicio a la habitación,Caja fuerte,Sala de estar,Comedor separado,Teléfono,Guardarropa/Ropero,Botellas de agua,Estante para la ropa,Plancha,Caja de seguridad para computadora portátil,Piso de azulejos/mármol,Servicio de despertador/Reloj despertador,TV pantalla plana,Radio,Productos de tocador de cortesía,Secador de pelo,Habitaciones para no fumadores,Suites,Habitaciones para familias","Por su ubicación y servicios, conveniente es la mejor palabra para describir al hotel Wyndham Garden Guayaquil. Ofrece traslado gratuito desde el Aeropuerto Internacional José Joaquín de Olmedo (GYE) el cual se encuentra a 3 km (2 mi) de distancia. A pocos pasos del centro comercial más grande la ciudad, Mall del Sol Shopping Center el cual ofrece patio de comidas, cine, juegos para niños, tiendas de ropa, supermercado, bancos y mucho más. Todas las habitaciones cuentan con Wifi gratuito, TV de pantalla plana, aire acondicionado, botella de agua de cortesía y demás comodidades que garantizarán una placentera estadía. Los huéspedes de este dinámico hotel tienen libre acceso al Gimnasio, Sauna y Jacuzzi. Su reconocido restaurante brinda a diario los servicios de Desayuno Buffet, Almuerzo y Cena a la carta. Además de un Sushi Bar, Roomservice 24 horas y Salones para Eventos.",Wyndham Garden Guayaquil,86
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Transporte gratis al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Estacionamiento con servicio de valet,Wifi,Bañera de hidromasaje,Toallas para la piscina/playa,Piscina al aire libre,Piscina climatizada,Vestuarios de gimnasio/spa,Sauna,Restaurante,Desayuno bufet,Bar de aperitivos,Bar en la piscina,Bar junto a la piscina,Servicios gratuitos de taxi o transporte,Transporte al aeropuerto,Servicio de traslado en autobús,Alquiler de autos,Salón de banquetes,Salas de reuniones,Fax/Fotocopiadora,Spa,Masaje en pareja,Tratamientos faciales,Masaje de pies,Masaje de cuerpo completo,Masaje de manos,Masaje de cabeza,Masaje,Masaje de cuello,Salón de belleza,Sala de vapor,Almacenamiento de equipaje,Conserje,Tienda de regalos,Periódico,Hotel para no fumadores,Tiendas,Cajero automático en el lugar,Recepción disponible las 24 horas,Check-in y check-out exprés,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Servicio de lustrado de zapatos,Aire acondicionado,Servicio a la habitación,Caja fuerte,Instalaciones de habitación VIP,Minibar,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias,Habitaciones para fumadores disponibles",,Hilton Colon Guayaquil,84
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Bañera de hidromasaje,Desayuno gratis,Alquiler de bicicletas,Bicicletas disponibles,Guardería,Actividades infantiles (Ideal para niños / familias),Wifi,Bar/Salón,Restaurante,Menús para dietas especiales,Excursionismo,Paseo a caballo,Entretenimiento nocturno,Transporte al aeropuerto,Servicio de traslado en autobús,Centro de negocios con acceso a Internet,Salas de reuniones,Spa,Conserje,Hotel para no fumadores,Muebles de exterior,Check-in y check-out privado,Servicio de lavandería,Aire acondicionado,Servicio de limpieza,Servicio a la habitación,Minibar,Habitaciones para no fumadores,Suites,Habitaciones para familias",,Hacienda La Danesa,
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Transporte gratis al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Wifi,Piscina al aire libre,Cafetería,Restaurante,Desayuno disponible,Desayuno bufet,Bebida de bienvenida de cortesía,Happy Hour,Bufé apto para niños,Transporte al aeropuerto,Servicio de traslado en autobús,Salón de banquetes,Salas de reuniones,Masaje,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Servicio de mayordomo,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Aire acondicionado,Servicio a la habitación,Caja fuerte,Minibar,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias",,Oro Verde Guayaquil,
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Desayuno gratis,Actividades infantiles (Ideal para niños / familias),Se admiten mascotas (Se aceptan perros / mascotas),Transporte al aeropuerto,Conserje,Hotel para no fumadores,Garaje de estacionamientos,Wifi,Restaurante,Desayuno disponible,Desayuno en la habitación,Bar de aperitivos,Recepción disponible las 24 horas,Servicio de lavandería,Aire acondicionado,Servicio a la habitación,Habitaciones para no fumadores,Habitaciones para familias","HDC, Hotel del centro, estratégicamente ubicado a tres cuadras del Río Guayas donde se encuentra el maravilloso Malecón 2000, el atractivo más importante de Guayaquil. HDC, ofrece a sus huéspedes habitaciones ejecutivas con baño privado, aire acondicionado, televisión, acceso al internet y desayuno. Tenemos habitaciones para uso individual, doble y triple. Además contamos con un parqueo exclusivo para nuestros huéspedes. HDC no solo es ideal para los ejecutivos que necesitan estar dentro del centro de Guayaquil, sino también para todos los turistas que deseen conocer nuestra linda ciudad a pie, ya nos encontramos a pocas distancias de las zonas turísticas más importantes.",Hotel del Centro,
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Desayuno gratis,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Masaje,Almacenamiento de equipaje,Garaje de estacionamientos,Wifi,Bar/Salón,Restaurante,Desayuno disponible,Desayuno bufet,Desayuno en la habitación,Salón de banquetes,Salas de reuniones,Fax/Fotocopiadora,Salón de belleza,Conserje,Hotel para no fumadores,Tiendas,Cajero automático en el lugar,Recepción disponible las 24 horas,Check-in y check-out exprés,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Servicio a la habitación,Caja fuerte,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias","El Hotel Continental es tradición, comodidad y pasión por el servicio. Nuestra hospitalidad nos ha convertido en referente para ejecutivos y turistas, nacionales e internacionales. Estamos a menos de 15 minutos del aeropuerto internacional José Joaquín de Olmedo. El Hotel Continental está estratégicamente ubicado en pleno centro turístico, histórico, comercial y bancario de Guayaquil. Nuestra gastronomía nos distingue en la ciudad; en materia gastronómica, somos sin modestia, los mejores de Guayaquil. Sentirá, a cada momento la hospitalidad que nos caracteriza y que es parte de nuestra excelencia. Todos nuestros huéspedes son especiales, lo invitamos a ser uno de ellos y vivir ¡El Estilo Continental!",Continental Hotel,58
"Estacionamiento gratis,Estacionamiento,Internet de alta velocidad gratuito (WiFi),Alquiler de bicicletas,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Hotel para no fumadores,Limpieza en seco,Wifi,Alquiler de autos,Aire acondicionado,Kitchenette,Refrigerador,Habitaciones para no fumadores,Suites",,Suites Guayaquil,
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Desayuno disponible,Cadenas de televisión para niños,Piscina para niños,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Estacionamiento en la calle,Wifi,Bañera de hidromasaje,Toallas para la piscina/playa,Piscina climatizada,Piscina de inmersión,Salas de reuniones,Masaje,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Muebles de exterior,Cocina compartida,Sala de estar o con TV compartida,Reposeras/Sillas playeras,Terraza solárium,Sombrillas,Recepción disponible las 24 horas,Check-in y check-out privado,Limpieza en seco,Servicio de lavandería,Aire acondicionado,Servicio de limpieza,Caja fuerte,Teléfono,Kitchenette,Microondas,Bañera/Ducha,Productos de tocador de cortesía,Plancha,Servicio de despertador/Reloj despertador,Habitaciones para no fumadores,Suites,Habitaciones para familias",,Cedros Inn,75
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Wifi,Bar/Salón,Restaurante,Desayuno bufet,Salón de banquetes,Salas de reuniones,Conserje,Hotel para no fumadores,Servicio de lavandería,Aire acondicionado,Servicio a la habitación,Refrigerador,TV pantalla plana,Habitaciones para no fumadores,Suites",,Hotel Marcelius,65
"Estacionamiento privado pagado cercano,Internet de alta velocidad gratuito (WiFi),Piscina al aire libre,Desayuno gratis,Se admiten mascotas (Se aceptan perros / mascotas),Transporte al aeropuerto,Fax/Fotocopiadora,Almacenamiento de equipaje,Estacionamiento en la calle,Wifi,Hotel para no fumadores,Muebles de exterior,Sala de estar o con TV compartida,Recepción disponible las 24 horas,Aire acondicionado,Caja fuerte,Habitaciones para no fumadores,Habitaciones para familias",,DreamKapture Hostel,
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Bañera de hidromasaje,Desayuno gratis,Transporte al aeropuerto,Fax/Fotocopiadora,Spa,Almacenamiento de equipaje,Estacionamiento vigilado,Wifi,Piscina al aire libre,Toallas para la piscina/playa,Desayuno en la habitación,Menús para dietas especiales,Vino/Champagne,Servicio de traslado en autobús,Alquiler de autos,Capilla/Santuario,Conserje,Cambio de divisas,Periódico,Hotel para no fumadores,Muebles de exterior,Recepción disponible las 24 horas,Check-in y check-out exprés,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Escritorio,Servicio de limpieza,Servicio a la habitación,Caja fuerte,Botellas de agua,Plancha,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias","El Hotel Boutique Orilla del Río fue hasta el año 1996 un hogar lleno de calor de familia, lleno de amor, fue nuestro hogar. Al pasar de los años quisimos abrir las puertas convirtiéndolo en un lugar para descubrir nuevas experiencias, y permitir que otras personas sientan aquí ese calor de hogar, aunque estén fuera del suyo.Cada rincón de este hotel boutique está lleno de momentos y recuerdos importantes, por esta razón hemos considerado todo para hacer más cómoda su estadía.Estamos ubicados en la zona más segura de Guayaquil , en donde puede caminar. Conozca más de los servicios y las habitaciones que le ofrecemos.",Hotel Boutique Orilla del Rio,125
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Actividades infantiles (Ideal para niños / familias),Transporte gratis al aeropuerto,Centro de negocios con acceso a Internet,Garaje de estacionamientos,Wifi,Piscina al aire libre,Sauna,Restaurante,Desayuno bufet,Desayuno en la habitación,Comidas para niños,Vino/Champagne,Transporte al aeropuerto,Servicio de traslado en autobús,Instalaciones para conferencias,Salón de banquetes,Salas de reuniones,Fax/Fotocopiadora,Spa,Hammam,Masaje,Almacenamiento de equipaje,Conserje,Periódico,Hotel para no fumadores,Tiendas,Terraza solárium,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Lavandería de autoservicio,Servicio de planchado,Aire acondicionado,Servicio a la habitación,Caja fuerte,Botellas de agua,Minibar,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias",,Sonesta Hotel Guayaquil,103
"Estacionamiento privado pagado cercano,Internet de alta velocidad gratuito (WiFi),Desayuno gratis,Alquiler de bicicletas,Excursionismo,Almacenamiento de equipaje,Tienda de regalos,Recepción disponible las 24 horas,Estacionamiento,Wifi,Bar/Salón,Cafetería,Restaurante,Vino/Champagne,Entretenimiento nocturno,Periódico,Hotel para no fumadores,Tiendas,Servicio de lavandería,Aire acondicionado,Habitaciones para no fumadores,Habitaciones para familias","Manso está en la zona más céntrica y segura de Guayaquil, frente al Malecón 2000, a 15 cuadras de Las Peñas, a 2 cuadras de la Av 9 de octubre, a 4 cuadras del Parque de las Iguanas. A 10-15 minutos del aeropuerto y terminal terrestre. Agencia de viajes con tours a los alrededores de Guayaquil con énfasis en el aspecto cultural. City Tours en bicicleta. Hay 4 categorías de habitaciones; hay opciones para cada presupuesto. Todos los cuartos tienen diseño y rige el mismo estándar de servicio en todo el hostal. Muchas áreas comunes ideales para relajarse viendo el río o conocer otros viajeros. Manso tiene una cafetería organica con opciones vegetarianas. Centro cultural con actividades todo el año. Tienda de diseñadores locales con énfasis en el uso de materiales reciclado",Manso Boutique Guesthouse,
"Estacionamiento vigilado,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Squash,Billar,Piscina para niños,Wifi,Bañera de hidromasaje,Toallas para la piscina/playa,Piscina al aire libre,Vestuarios de gimnasio/spa,Clases de actividad física,Sauna,Bar/Salón,Cafetería,Restaurante,Desayuno disponible,Café instantáneo de cortesía,Té de cortesía,Bebida de bienvenida de cortesía,Happy Hour,Comidas para niños,Comedor al aire libre,Vino/Champagne,Patio,Tenis de mesa,Sillitas altas disponibles,Transporte gratis al aeropuerto,Servicio de taxi,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Salón de banquetes,Salas de reuniones,Fax/Fotocopiadora,Spa,Envoltura corporal,Hammam,Masaje de manos,Masaje,Solárium,Sala de vapor,Terraza en la azotea,Seguridad las 24 horas,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Terraza solárium,Portero,Kit de primeros auxilios,Recepción disponible las 24 horas,Check-in y check-out exprés,Secador de ropa,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Cortinas blackout,Habitaciones insonorizadas,Aire acondicionado,Escritorio,Servicio de limpieza,Máquina de café/té,TV por cable/satélite,Bañera/Ducha,Habitaciones interconectadas disponibles,Servicio a la habitación,Caja fuerte,Sala de estar separada,Sofá,Teléfono,Guardarropa/Ropero,Botellas de agua,Estante para la ropa,Plancha,Baños privados,Servicio de despertador/Reloj despertador,Refrigerador,TV pantalla plana,Radio,Secador de pelo,Vista a la ciudad,Vista a la piscina,Suite nupcial,Habitaciones para no fumadores,Suites,Habitaciones para familias","Experimente el servicio y el sabor local de un hotel histórico situado en la puerta de entrada a las exuberantes playas del Pacífico y las hermosas islas volcánicas de Galápagos cuando se aloje en el único Grand Hotel Guayaquil, miembro de Ascend Hotel Collection®.",Grand Hotel Guayaquil,65
